"id";"draftYear";"draftRound";"draftSelection";"draftOverall";"tmID";"firstName";"lastName";"suffixName";"playerID";"draftFrom";"lgID"
1;1967;0;0;0;"ANA";"Darrell";"Hardy";"";"hardyda01";"Baylor";"ABA"
2;1967;0;0;0;"ANA";"Bob";"Krulish";"";"";"Pacific";"ABA"
3;1967;0;0;0;"ANA";"Bob";"Lewis";"";"lewisbo01";"North Carolina";"ABA"
4;1967;0;0;0;"ANA";"Mike";"Lynn";"";"lynnmi01";"UCLA";"ABA"
5;1967;0;0;0;"ANA";"Tom";"Workman";"";"workmto01";"Seattle";"ABA"
6;1967;0;0;0;"ANA";"Jim";"Connolly";"";"";"Virginia";"ABA"
7;1967;0;0;0;"ANA";"Denny";"Holman";"";"holmade01";"Southern Methodist";"ABA"
8;1967;0;0;0;"ANA";"Edgar";"Lacy";"";"lacyed01";"UCLA";"ABA"
9;1967;0;0;0;"ANA";"Les";"Powell";"";"";"Utah State";"ABA"
10;1967;0;0;0;"ANA";"Malcolm";"Strong";"";"";"Seattle";"ABA"
11;1967;0;0;0;"ANA";"Gary";"Williams";"";"";"Oklahoma State";"ABA"
12;1967;0;0;0;"ANA";"Mike";"Wittman";"";"";"Miami (FL)";"ABA"
13;1967;0;0;0;"DNR";"Walt";"Frazier";"";"fraziwa01";"Southern Illinois";"ABA"
14;1967;0;0;0;"DNR";"Neville";"Shedd";"";"";"Texas Western";"ABA"
15;1967;0;0;0;"DNR";"Bob";"Rule";"";"rulebo01";"Colorado State University";"ABA"
16;1967;0;0;0;"DNR";"Gary";"Keller";"";"kellega01";"Florida";"ABA"
17;1967;0;0;0;"DNR";"Byron";"Beck";"";"beckby01";"Denver";"ABA"
18;1967;0;0;0;"DNR";"Vaughn";"Harper";"";"";"Syracuse";"ABA"
19;1967;0;0;0;"DNR";"Rick";"Dean";"";"";"Syracuse";"ABA"
20;1967;0;0;0;"DNR";"Neil";"Heskin";"";"";"Georgetown";"ABA"
21;1967;0;0;0;"DNR";"Dave";"Lattin";"";"lattida01";"Texas Western";"ABA"
22;1967;0;0;0;"DNR";"John";"Morrison";"";"morrijo01";"Canisius";"ABA"
23;1967;0;0;0;"DNR";"Neil";"Roberts";"";"";"Brigham Young";"ABA"
24;1967;0;0;0;"DNR";"Bill";"Turner";"";"turnebi01";"Akron";"ABA"
25;1967;0;0;0;"DLC";"Matt";"Aitch";"";"aitchma01";"Michigan State";"ABA"
26;1967;0;0;0;"DLC";"Jim";"Burns";"";"burnsji01";"Northwestern";"ABA"
27;1967;0;0;0;"DLC";"Gary";"Gray";"";"grayga01";"Oklahoma City";"ABA"
28;1967;0;0;0;"DLC";"Pat";"Riley";"";"rileypa01";"Kentucky";"ABA"
29;1967;0;0;0;"DLC";"Jamie";"Thompson";"";"";"Wichita State";"ABA"
30;1967;0;0;0;"DLC";"Paul";"Brateris";"";"";"Tennessee Wesleyan";"ABA"
31;1967;0;0;0;"DLC";"Jeff";"Fitch";"";"";"East Texas State";"ABA"
32;1967;0;0;0;"DLC";"Ted";"Manning";"";"";"North Carolina A&T";"ABA"
33;1967;0;0;0;"DLC";"Duane";"Heckman";"";"";"Dickinson";"ABA"
34;1967;0;0;0;"DLC";"Gilbert";"McDowell";"";"";"Tennessee Wesleyan";"ABA"
35;1967;0;0;0;"DLC";"Jerry";"Southwood";"";"";"Vanderbilt";"ABA"
36;1967;0;0;0;"DLC";"Tom";"Storm";"";"";"Montana State";"ABA"
37;1967;0;0;0;"HSM";"Bob";"Benfield";"";"";"West Virginia";"ABA"
38;1967;0;0;0;"HSM";"Tony";"Eatmon";"";"";"Pan-American";"ABA"
39;1967;0;0;0;"HSM";"Bob";"Riedy";"";"riedybo01";"Duke";"ABA"
40;1967;0;0;0;"HSM";"Frank";"Stronczek";"";"";"American International";"ABA"
41;1967;0;0;0;"HSM";"Keith";"Swagerty";"";"swageke01";"Pacific";"ABA"
42;1967;0;0;0;"HSM";"Don";"Carlos";"";"";"Otterbein";"ABA"
43;1967;0;0;0;"HSM";"Hal";"Hale";"";"haleha01";"Utah State";"ABA"
44;1967;0;0;0;"HSM";"Guy";"Manning";"";"mannigu01";"Prairie View";"ABA"
45;1967;0;0;0;"HSM";"Jim";"Monahan";"";"";"Notre Dame";"ABA"
46;1967;0;0;0;"HSM";"Mike";"Nau";"";"";"Oregon State";"ABA"
47;1967;0;0;0;"HSM";"Jerry";"Pettway";"";"pettwje01";"Northwood Institute";"ABA"
48;1967;0;0;0;"HSM";"Dale";"Schlueter";"";"schluda01";"Colorado State";"ABA"
49;1967;0;0;0;"INA";"Charles";"Beasley";"";"beaslch01";"Southern Methodist";"ABA"
50;1967;0;0;0;"INA";"Jim";"Dawson";"";"dawsoja01";"Illinois";"ABA"
51;1967;0;0;0;"INA";"Craig";"Dill";"";"dillcr01";"Michigan";"ABA"
52;1967;0;0;0;"INA";"Bob";"Netolicky";"";"netolbo01";"Drake";"ABA"
53;1967;0;0;0;"INA";"Jim";"Walker";"";"walkeji01";"Providence";"ABA"
54;1967;0;0;0;"INA";"Frank";"Gaidjunes";"";"";"Villanova";"ABA"
55;1967;0;0;0;"INA";"Jerry";"Jones";"";"";"Iowa";"ABA"
56;1967;0;0;0;"INA";"Ron";"Kozlicki";"";"kozliro01";"Northwestern";"ABA"
57;1967;0;0;0;"INA";"Hubie";"Marshall";"";"";"LaSalle";"ABA"
58;1967;0;0;0;"INA";"Ed";"McKee";"";"";"Rockburst";"ABA"
59;1967;0;0;0;"INA";"Bill";"Russell";"";"";"Indiana";"ABA"
60;1967;0;0;0;"INA";"Gene";"Washington";"";"";"Michigan State";"ABA"
61;1967;0;0;0;"KEN";"Louie";"Dampier";"";"dampilo01";"Kentucky";"ABA"
62;1967;0;0;0;"KEN";"Clem";"Haskins";"";"haskicl01";"Western Kentucky";"ABA"
63;1967;0;0;0;"KEN";"Dwight";"Smith";"";"";"Western Kentucky";"ABA"
64;1967;0;0;0;"KEN";"Willie";"Wolters";"";"";"Boston College";"ABA"
65;1967;0;0;0;"KEN";"Bob";"Verga";"";"";"Duke";"ABA"
66;1967;0;0;0;"KEN";"Earl";"Beecham";"";"";"Midwestern University";"ABA"
67;1967;0;0;0;"KEN";"Mel";"Cox";"";"";"Central Washington";"ABA"
68;1967;0;0;0;"KEN";"Ken";"Gibbs";"";"";"Vanderbilt";"ABA"
69;1967;0;0;0;"KEN";"Pres";"Judy";"";"";"Georgia Tech";"ABA"
70;1967;0;0;0;"KEN";"Gwendell";"MacSwain";"";"";"Valdosta State";"ABA"
71;1967;0;0;0;"KEN";"Randy";"Mahaffey";"";"mahafra01";"Clemson";"ABA"
72;1967;0;0;0;"KEN";"John";"Smith";"";"";"Kent State";"ABA"
73;1967;0;0;0;"MNM";"Mel";"Daniels";"";"danieme01";"New Mexico";"ABA"
74;1967;0;0;0;"MNM";"Phil";"Jackson";"";"jacksph01";"North Dakota";"ABA"
75;1967;0;0;0;"MNM";"Bob";"Lloyd";"";"lloydbo01";"Rutgers";"ABA"
76;1967;0;0;0;"MNM";"Tim";"Powers";"";"";"Creighton";"ABA"
77;1967;0;0;0;"MNM";"Sam";"Smith";"";"smithsa01";"Kentucky Western";"ABA"
78;1967;0;0;0;"MNM";"Al";"Clark";"";"";"Eastern Kentucky";"ABA"
79;1967;0;0;0;"MNM";"Gary";"Gregor";"";"gregoga01";"South Carolina";"ABA"
80;1967;0;0;0;"MNM";"Erv";"Inniger";"";"";"Indiana";"ABA"
81;1967;0;0;0;"MNM";"Rich";"Jones";"";"jonesri01";"Illinois";"ABA"
82;1967;0;0;0;"MNM";"Lindberg";"Moody";"";"";"South Carolina State";"ABA"
83;1967;0;0;0;"MNM";"Errol";"Palmer";"";"palmeer01";"DePaul";"ABA"
84;1967;0;0;0;"MNM";"Ron";"Perry";"";"perryro01";"Virginia Poly Institute";"ABA"
85;1967;0;0;0;"NJA";"Sonny";"Dove";"";"doveso01";"St. John's";"ABA"
86;1967;0;0;0;"NJA";"Mal";"Graham";"";"grahama01";"New York University";"ABA"
87;1967;0;0;0;"NJA";"George";"Stone";"";"stonege01";"Marshall";"ABA"
88;1967;0;0;0;"NJA";"Dick";"Pruett";"";"";"Jacksonville";"ABA"
89;1967;0;0;0;"NJA";"Bob";"Wolf";"";"";"Marquette";"ABA"
90;1967;0;0;0;"NJA";"Tim";"Edwards";"";"";"Amherst";"ABA"
91;1967;0;0;0;"NJA";"Dan";"Hansard";"";"";"St. Thomas (MN)";"ABA"
92;1967;0;0;0;"NJA";"Frank";"Holloendoner";"";"";"Georgetown";"ABA"
93;1967;0;0;0;"NJA";"Harry";"Laurie";"";"lauriha01";"St. Peters (NJ)";"ABA"
94;1967;0;0;0;"NOB";"Robert";"Allen";"";"";"Arkansas AM&N";"ABA"
95;1967;0;0;0;"NOB";"John";"Dickson";"";"dicksjo01";"Arkansas State";"ABA"
96;1967;0;0;0;"NOB";"James";"Jones";"";"jonesji01";"Grambling";"ABA"
97;1967;0;0;0;"NOB";"Paul";"Long";"";"longpa01";"Wake Forest";"ABA"
98;1967;0;0;0;"NOB";"Ron";"Widby";"";"widbyro01";"Tennessee.";"ABA"
99;1967;0;0;0;"NOB";"Al";"Andrews";"";"";"Tulane";"ABA"
100;1967;0;0;0;"NOB";"George";"Carter";"";"cartege01";"St. Bonaventure";"ABA"
101;1967;0;0;0;"NOB";"Carl";"Head";"";"";"West Virginia";"ABA"
102;1967;0;0;0;"NOB";"Allan";"Parris";"";"";"Utah";"ABA"
103;1967;0;0;0;"NOB";"Jeff";"Ramsey";"";"";"Florida";"ABA"
104;1967;0;0;0;"NOB";"Bob";"Seagren";"";"";"Southern California";"ABA"
105;1967;0;0;0;"NOB";"Dexter";"Westbrook";"";"westbde01";"Providence";"ABA"
106;1967;0;0;0;"OAK";"Wes";"Bialosuknia";"";"bialowe01";"Connecticut";"ABA"
107;1967;0;0;0;"OAK";"Gordy";"Harris";"";"";"Washington";"ABA"
108;1967;0;0;0;"OAK";"Richie";"Moore";"";"mooreri01";"Hiram Scott";"ABA"
109;1967;0;0;0;"OAK";"Al";"Salvadori";"";"salvaal01";"South Carolina";"ABA"
110;1967;0;0;0;"OAK";"Al";"Tucker";"";"tuckeal01";"Oklahoma Baptist";"ABA"
111;1967;0;0;0;"OAK";"Art";"Allen";"";"";"Bethune-Cookman";"ABA"
