"id";"year";"round";"series";"tmIDWinner";"lgIDWinner";"tmIDLoser";"lgIDLoser";"W";"L"
1;1946;"F";"O";"PHW";"NBA";"CHS";"NBA";4;1
2;1946;"QF";"M";"NYK";"NBA";"CLR";"NBA";2;1
3;1946;"QF";"M";"PHW";"NBA";"STB";"NBA";2;1
4;1946;"SF";"N";"PHW";"NBA";"NYK";"NBA";2;0
5;1946;"SF";"N";"CHS";"NBA";"WSC";"NBA";4;2
6;1947;"F";"O";"BLB";"NBA";"PHW";"NBA";4;2
7;1947;"QF";"M";"BLB";"NBA";"NYK";"NBA";2;1
8;1947;"QF";"M";"CHS";"NBA";"BOS";"NBA";2;1
9;1947;"SF";"N";"BLB";"NBA";"CHS";"NBA";2;0
10;1947;"SF";"N";"PHW";"NBA";"STB";"NBA";4;3
11;1947;"DT";"A";"BLB";"NBA";"CHS";"NBA";1;0
12;1947;"DT";"A";"CHS";"NBA";"WSC";"NBA";1;0
13;1948;"DF";"K";"WSC";"NBA";"NYK";"NBA";2;1
14;1948;"DSF";"J";"WSC";"NBA";"PHW";"NBA";2;0
15;1948;"DSF";"J";"NYK";"NBA";"BLB";"NBA";2;1
16;1948;"F";"O";"MNL";"NBA";"WSC";"NBA";4;2
17;1948;"DF";"K";"MNL";"NBA";"ROC";"NBA";2;0
18;1948;"DSF";"J";"MNL";"NBA";"CHS";"NBA";2;0
19;1948;"DSF";"J";"ROC";"NBA";"STB";"NBA";2;0
20;1949;"DF";"K";"MNL";"NBA";"FTW";"NBA";2;0
21;1949;"DT";"A";"MNL";"NBA";"ROC";"NBA";1;0
22;1949;"DSF";"J";"FTW";"NBA";"ROC";"NBA";2;0
23;1949;"DSF";"J";"MNL";"NBA";"CHS";"NBA";2;0
24;1949;"DT";"A";"FTW";"NBA";"CHS";"NBA";1;0
25;1949;"DF";"K";"SYR";"NBA";"NYK";"NBA";2;1
26;1949;"DSF";"J";"NYK";"NBA";"WSC";"NBA";2;0
27;1949;"DSF";"J";"SYR";"NBA";"PHW";"NBA";2;0
28;1949;"F";"O";"MNL";"NBA";"SYR";"NBA";4;2
29;1949;"SF";"N";"MNL";"NBA";"AND";"NBA";2;0
30;1949;"DF";"K";"AND";"NBA";"INO";"NBA";2;1
